Chambre,Emplacement,RawScan,Nb caisse,Nb bocaux,RawScan-Mani p,Strain,Line,Date,NbSem,AgeAMS,Type,Bocaux,Milieu,Rang,XorEorRori ,Rang/Rang+,Type+Rang,nom_varietes,Batch#,BatchLines,Qualité CHF,Unnamed: 22,Unnamed: 23,Unnamed: 24,0,Unnamed: 26,Unnamed: 27,1,< alt+e
1,1A40,735820250915X 2 7  ,16.0,,735820250915X 2,BRAHY,2406.0,2025-09-15,0.0,< 1 sem.,X 2 ,224.0,X ,2.0,X,2,X2,BARHEE,BAHREE 94,2363-2410,,,,,,,,,
1,1A30,564020250811XM1536 ,,10.0,564020250811XM1,MDJU,2306.0,2025-08-11,5.0,1 mois 1 sem.,XM15,10.0,XM,15.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,BR,,,,,,,
1,1A31,869820240924RG4 7  ,3.0,,869820240924RG4,AMZLY,2306.0,2024-09-24,51.0,11 mois 3 sem.,RG4 ,42.0,RG,4.0,X,4,X4,ZAMLI,ZAMLI 4,2306,,,,,,,,,
1,1A31,833720250827XM1636 ,4.0,5.0,833720250827XM1,DABAS,36.0,2025-08-27,3.0,3 sem.,XM16,61.0,XM,16.0,X,13+,X13+,DABBAS,DABBAS 4,33-47,,,,,,,,,
1,1A31,828620250910E+197  ,2.0,,828620250910E+1,GND,11.0,2025-09-10,1.0,1 sem.,E+19,28.0,E+,19.0,X,13+,X13+,GANDA,GANDA 4,11-15,,,,,,,,,
1,1A31,833720250827XM1636 ,3.0,7.0,833720250827XM1,DABAS,36.0,2025-08-27,3.0,3 sem.,XM16,49.0,XM,16.0,X,13+,X13+,DABBAS,DABBAS 4,33-47,,,,,,,,,
1,1A31,869720250827XS1436 ,1.0,3.0,869720250827XS1,RAWD,2301.0,2025-08-27,3.0,3 sem.,XS14,17.0,XS,14.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A31,761320250828E+1536 ,,4.0,761320250828E+1,ISEHS,120.0,2025-08-28,3.0,3 sem.,E+15,4.0,E+,15.0,X,13+,X13+,SHESHI,SHESHI 22,116-120,,,,,,,,,
1,1A31,862320250829XS2036 ,1.0,3.0,862320250829XS2,GAIS,120.0,2025-08-29,2.0,2 sem.,XS20,17.0,XS,20.0,X,13+,X13+,SAGGAI,SAGGAI 16,116-120,,,,,,,,,
1,1A31,869720250829XS1536 ,2.0,,869720250829XS1,RAWD,2301.0,2025-08-29,2.0,2 sem.,XS15,28.0,XS,15.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A31,825520250819E+237  ,13.0,,825520250819E+2,FAR F,257.0,2025-08-19,4.0,4 sem.,E+23,182.0,E+,23.0,X,13+,X13+,FARD femelle,FARD 20,253-262,,,,,,,,,
1,1A32,869720250814XS9 36 ,,1.0,869720250814XS9,RAWD,2301.0,2025-08-14,5.0,1 mois ,XS9 ,1.0,XS,9.0,X,9,X9,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A32,825520250814E+2336 ,2.0,,825520250814E+2,FAR F,257.0,2025-08-14,5.0,1 mois ,E+23,28.0,E+,23.0,X,13+,X13+,FARD femelle,FARD 20,253-262,,,,,,,,,
1,1A32,761320250804XS1636 ,1.0,,761320250804XS1,ISEHS,120.0,2025-08-04,6.0,1 mois 2 sem.,XS16,14.0,XS,16.0,X,13+,X13+,SHESHI,SHESHI 22,116-120,,,,,,,,,
1,1A22,869720250818E 2 36 ,1.0,5.0,869720250818E 2,RAWD,2301.0,2025-08-18,4.0,1 mois ,E 2 ,19.0,E ,2.0,E,2,E2,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A22,869720250829MG3 36 ,,4.0,869720250829MG3,RAWD,2301.0,2025-08-29,2.0,2 sem.,MG3 ,4.0,MG,3.0,BoxE,3,BoxE3,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A22,869720250819XS147  ,4.0,,869720250819XS1,RAWD,2301.0,2025-08-19,4.0,4 sem.,XS14,56.0,XS,14.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A22,869920250910XS167  ,8.0,,869920250910XS1,GNAMY,2306.0,2025-09-10,1.0,1 sem.,XS16,112.0,XS,16.0,X,13+,X13+,GHANAMI,GHANAMI 45,2306,,,,,,,,,
1,1A22,833720250806E+1668 ,10.0,,833720250806E+1,DABAS,36.0,2025-08-06,6.0,1 mois 1 sem.,E+16,140.0,E+,16.0,X,13+,X13+,DABBAS,DABBAS 4,33-47,,,,,,,,,
1,1A22,709220250821X 1379 ,2.0,,709220250821X 1,BRAHY,2311.0,2025-08-21,4.0,4 sem.,X 13,28.0,X ,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1A21,709220250819E+1279 ,2.0,,709220250819E+1,BRAHY,2311.0,2025-08-19,4.0,4 sem.,E+12,28.0,E+,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1A21,869720250826XS1536 ,4.0,5.0,869720250826XS1,RAWD,2301.0,2025-08-26,3.0,3 sem.,XS15,61.0,XS,15.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1A21,870320250819E+1236 ,,7.0,870320250819E+1,ISEHS,9308.0,2025-08-19,4.0,4 sem.,E+12,7.0,E+,12.0,X,12,X12,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1A21,564020250916X 1720 ,10.0,4.0,564020250916X 1,MDJU,2306.0,2025-09-16,0.0,< 1 sem.,X 17,144.0,X ,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1A21,594820250904X 2 36 ,4.0,,594820250904X 2,MDJU,2406.0,2025-09-04,2.0,2 sem.,X 2 ,56.0,X ,2.0,X,2,X2,MEDJOOL,MEDJOOL 111,2406,,,,,,,,,
1,1A20,594820250903AW2 36 ,4.0,7.0,594820250903AW2,MDJU,2406.0,2025-09-03,2.0,2 sem.,AW2 ,63.0,AW,2.0,X,2,X2,MEDJOOL,MEDJOOL 111,2406,,,,,,,,,
1,1B52,709220250912E+1318 ,7.0,2.0,709220250912E+1,BRAHY,2311.0,2025-09-12,0.0,< 1 sem.,E+13,100.0,E+,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B52,709220250916XM1371 ,2.0,,709220250916XM1,BRAHY,2311.0,2025-09-16,0.0,< 1 sem.,XM13,28.0,XM,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B52,709220250916XM1271 ,2.0,,709220250916XM1,BRAHY,2311.0,2025-09-16,0.0,< 1 sem.,XM12,28.0,XM,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B52,870320250825E+1236 ,3.0,,870320250825E+1,ISEHS,9308.0,2025-08-25,3.0,3 sem.,E+12,42.0,E+,12.0,X,12,X12,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1B52,564020250829RG1738 ,,7.0,564020250829RG1,MDJU,2306.0,2025-08-29,2.0,2 sem.,RG17,7.0,RG,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1B52,564020250829RG1738 ,1.0,,564020250829RG1,MDJU,2306.0,2025-08-29,2.0,2 sem.,RG17,14.0,RG,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1B52,564020250827E+1738 ,,5.0,564020250827E+1,MDJU,2306.0,2025-08-27,3.0,3 sem.,E+17,5.0,E+,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1B51,564020250910X 1720 ,12.0,,564020250910X 1,MDJU,2306.0,2025-09-10,1.0,1 sem.,X 17,168.0,X ,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1B51,870220250813RG127  ,12.0,2.0,870220250813RG1,FAIZ,9308.0,2025-08-13,5.0,1 mois ,RG12,170.0,RG,12.0,X,12,X12,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1B41,825520250818X 2420 ,7.0,7.0,825520250818X 2,FAR F,257.0,2025-08-18,4.0,1 mois ,X 24,105.0,X ,24.0,X,13+,X13+,FARD femelle,FARD 20,253-262,,,,,,,,,
1,1B41,870220250813RG1220 ,9.0,2.0,870220250813RG1,FAIZ,9308.0,2025-08-13,5.0,1 mois ,RG12,128.0,RG,12.0,X,12,X12,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1B41,709220250821X 1379 ,2.0,,709220250821X 1,BRAHY,2311.0,2025-08-21,4.0,4 sem.,X 13,28.0,X ,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B41,709220250819E+1279 ,1.0,5.0,709220250819E+1,BRAHY,2311.0,2025-08-19,4.0,4 sem.,E+12,19.0,E+,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B42,709220250912E+1350 ,23.0,,709220250912E+1,BRAHY,2311.0,2025-09-12,0.0,< 1 sem.,E+13,322.0,E+,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B32,709220250825XM1215 ,28.0,11.0,709220250825XM1,BRAHY,2311.0,2025-08-25,3.0,3 sem.,XM12,403.0,XM,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B31,730820250910E+237  ,2.0,1.0,730820250910E+2,GND,6.0,2025-09-10,1.0,1 sem.,E+23,29.0,E+,23.0,X,13+,X13+,GANDA,GANDA 2,2-6,,,,,,,,,
1,1B31,730820250910XS237  ,3.0,6.0,730820250910XS2,GND,6.0,2025-09-10,1.0,1 sem.,XS23,48.0,XS,23.0,X,13+,X13+,GANDA,GANDA 2,2-6,,,,,,,,,
1,1B31,709220250820X 1379 ,1.0,,709220250820X 1,BRAHY,2311.0,2025-08-20,4.0,4 sem.,X 13,14.0,X ,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B31,709220250818E+1279 ,2.0,,709220250818E+1,BRAHY,2311.0,2025-08-18,4.0,1 mois ,E+12,28.0,E+,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B31,709220250818E+1279 ,2.0,,709220250818E+1,BRAHY,2311.0,2025-08-18,4.0,1 mois ,E+12,28.0,E+,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B31,709220250820X 1379 ,1.0,6.0,709220250820X 1,BRAHY,2311.0,2025-08-20,4.0,4 sem.,X 13,20.0,X ,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B31,869720250826XS1536 ,2.0,6.0,869720250826XS1,RAWD,2301.0,2025-08-26,3.0,3 sem.,XS15,34.0,XS,15.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1B31,869720250825XM1536 ,5.0,6.0,869720250825XM1,RAWD,2301.0,2025-08-25,3.0,3 sem.,XM15,76.0,XM,15.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1B21,869720250807X 1620 ,9.0,1.0,869720250807X 1,RAWD,2301.0,2025-08-07,6.0,1 mois 1 sem.,X 16,127.0,X ,16.0,X,13+,X13+,RAWDAH,RAWDAH 1,2301,,,,,,,,,
1,1B21,825520250819E+237  ,16.0,,825520250819E+2,FAR F,257.0,2025-08-19,4.0,4 sem.,E+23,224.0,E+,23.0,X,13+,X13+,FARD femelle,FARD 20,253-262,,,,,,,,,
1,1B22,709220250908XM1215 ,21.0,,709220250908XM1,BRAHY,2311.0,2025-09-08,1.0,1 sem.,XM12,294.0,XM,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1A10,594820250904X 2 36 ,17.0,,594820250904X 2,MDJU,2406.0,2025-09-04,2.0,2 sem.,X 2 ,238.0,X ,2.0,X,2,X2,MEDJOOL,MEDJOOL 111,2406,,,,,,,,,
1,1A11,870320250819XM1236 ,1.0,6.0,870320250819XM1,ISEHS,9308.0,2025-08-19,4.0,4 sem.,XM12,20.0,XM,12.0,X,12,X12,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1A11,709220250828G 6 14 ,20.0,,709220250828G 6,BRAHY,2311.0,2025-08-28,3.0,3 sem.,G 6 ,280.0,G ,6.0,X,6,X6,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1A12,870220250825E+1338 ,4.0,,870220250825E+1,FAIZ,9308.0,2025-08-25,3.0,3 sem.,E+13,56.0,E+,13.0,X,13+,X13+,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1A12,870320250814E+1236 ,4.0,,870320250814E+1,ISEHS,9308.0,2025-08-14,5.0,1 mois ,E+12,56.0,E+,12.0,X,12,X12,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1B12,709220250909XM1287 ,1.0,4.0,709220250909XM1,BRAHY,2311.0,2025-09-09,1.0,1 sem.,XM12,18.0,XM,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B12,709220250908XM1215 ,4.0,,709220250908XM1,BRAHY,2311.0,2025-09-08,1.0,1 sem.,XM12,56.0,XM,12.0,X,12,X12,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B12,564020250912X 1720 ,7.0,1.0,564020250912X 1,MDJU,2306.0,2025-09-12,0.0,< 1 sem.,X 17,99.0,X ,17.0,X,13+,X13+,MEDJOOL,MEDJOOL 109,2306,,,,,,,,,
1,1B11,761320250909XS187  ,1.0,5.0,761320250909XS1,ISEHS,120.0,2025-09-09,1.0,1 sem.,XS18,19.0,XS,18.0,X,13+,X13+,SHESHI,SHESHI 22,116-120,,,,,,,,,
1,1B11,870820250903E+1036 ,8.0,5.0,870820250903E+1,ISEHS,9312.0,2025-09-03,2.0,2 sem.,E+10,117.0,E+,10.0,X,10,X10,SHESHI,SHESHI 04,9312,,,,,,,,,
1,1B11,860820250829XM2838 ,3.0,,860820250829XM2,ISEHS,2.0,2025-08-29,2.0,2 sem.,XM28,42.0,XM,28.0,X,13+,X13+,SHESHI,SHESHI 02,2,,,,,,,,,
1,1B11,709220250828G 6 14 ,3.0,,709220250828G 6,BRAHY,2311.0,2025-08-28,3.0,3 sem.,G 6 ,42.0,G ,6.0,X,6,X6,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
1,1B11,871020250825X 9 36 ,,3.0,871020250825X 9,FAIZ,9312.0,2025-08-25,3.0,3 sem.,X 9 ,3.0,X ,9.0,X,9,X9,FAYZEH,FAYZEH 02,9312,,,,,,,,,
1,1B11,729020250731RG1636 ,,4.0,729020250731RG1,FAR F,155.0,2025-07-31,7.0,1 mois 2 sem.,RG16,4.0,RG,16.0,X,13+,X13+,FARD femelle,FARD 13,141-155,,,,,,,,,
1,1B11,862320250825X 1536 ,,3.0,862320250825X 1,GAIS,120.0,2025-08-25,3.0,3 sem.,X 15,3.0,X ,15.0,X,13+,X13+,SAGGAI,SAGGAI 16,116-120,,,,,,,,,
1,1B30,730820250805XM2236 ,,3.0,730820250805XM2,GND,6.0,2025-08-05,6.0,1 mois 1 sem.,XM22,3.0,XM,22.0,X,13+,X13+,GANDA,GANDA 2,2-6,,BR,,,,,,,
1,1Z01,870220250827E+1338 ,7.0,,870220250827E+1,FAIZ,9308.0,2025-08-27,3.0,3 sem.,E+13,98.0,E+,13.0,X,13+,X13+,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1Z01,870520250811RG1120 ,2.0,,870520250811RG1,MDJU,2311.0,2025-08-11,5.0,1 mois 1 sem.,RG11,28.0,RG,11.0,X,11,X11,MEDJOOL,MEDJOOL 110,2311,,,,,,,,,
1,1Z01,869920250623E 2 87 ,8.0,,869920250623E 2,GNAMY,2306.0,2025-06-23,12.0,2 mois 3 sem.,E 2 ,112.0,E ,2.0,E,2,E2,GHANAMI,GHANAMI 45,2306,,,,,,,,,
2,2A51,866120250910E 7 71 ,,3.0,866120250910E 7,BRAHY,2977.0,2025-09-10,1.0,1 sem.,E 7 ,3.0,E ,7.0,E,7+,E7+,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250910E 4 50 ,,6.0,866120250910E 4,BRAHY,2977.0,2025-09-10,1.0,1 sem.,E 4 ,6.0,E ,4.0,E,4,E4,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250910E 8 71 ,,2.0,866120250910E 8,BRAHY,2977.0,2025-09-10,1.0,1 sem.,E 8 ,2.0,E ,8.0,E,7+,E7+,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250910E 5 71 ,,8.0,866120250910E 5,BRAHY,2977.0,2025-09-10,1.0,1 sem.,E 5 ,8.0,E ,5.0,E,5,E5,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250903E 6 71 ,,6.0,866120250903E 6,BRAHY,2977.0,2025-09-03,2.0,2 sem.,E 6 ,6.0,E ,6.0,E,6,E6,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250904EA8 50 ,,5.0,866120250904EA8,BRAHY,2977.0,2025-09-04,2.0,2 sem.,EA8 ,5.0,EA,8.0,E,7+,E7+,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250911E 7 71 ,,5.0,866120250911E 7,BRAHY,2977.0,2025-09-11,1.0,1 sem.,E 7 ,5.0,E ,7.0,E,7+,E7+,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,866120250829EA6 71 ,,7.0,866120250829EA6,BRAHY,2977.0,2025-08-29,2.0,2 sem.,EA6 ,7.0,EA,6.0,E,6,E6,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A51,709220250915E+1318 ,18.0,7.0,709220250915E+1,BRAHY,2311.0,2025-09-15,0.0,< 1 sem.,E+13,259.0,E+,13.0,X,13+,X13+,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
2,2A52,707220250902XM1787 ,22.0,,707220250902XM1,BRAHY,2306.0,2025-09-02,2.0,2 sem.,XM17,308.0,XM,17.0,X,13+,X13+,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250904MG3 50 ,,4.0,866120250904MG3,BRAHY,2977.0,2025-09-04,2.0,2 sem.,MG3 ,4.0,MG,3.0,BoxE,3,BoxE3,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250909MG3 50 ,,3.0,707220250909MG3,BRAHY,2306.0,2025-09-09,1.0,1 sem.,MG3 ,3.0,MG,3.0,BoxE,3,BoxE3,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250908MG3 50 ,,4.0,707220250908MG3,BRAHY,2306.0,2025-09-08,1.0,1 sem.,MG3 ,4.0,MG,3.0,BoxE,3,BoxE3,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250827G+2 71 ,,4.0,866120250827G+2,BRAHY,2977.0,2025-08-27,3.0,3 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250826G+2 71 ,,4.0,707220250826G+2,BRAHY,2306.0,2025-08-26,3.0,3 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250826G+2 71 ,,4.0,707220250826G+2,BRAHY,2306.0,2025-08-26,3.0,3 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250826G+2 71 ,,2.0,707220250826G+2,BRAHY,2306.0,2025-08-26,3.0,3 sem.,G+2 ,2.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,709220250829MG1 71 ,,3.0,709220250829MG1,BRAHY,2311.0,2025-08-29,2.0,2 sem.,MG1 ,3.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 92,2308-2322,,,,,,,,,
2,2A31,866120250902MG3 71 ,,3.0,866120250902MG3,BRAHY,2977.0,2025-09-02,2.0,2 sem.,MG3 ,3.0,MG,3.0,BoxE,3,BoxE3,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,866120250904G+4 71 ,,1.0,866120250904G+4,BRAHY,2977.0,2025-09-04,2.0,2 sem.,G+4 ,1.0,G+,4.0,BoxE,4,BoxE4,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,866120250902G+2 50 ,,4.0,866120250902G+2,BRAHY,2977.0,2025-09-02,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250902G+2 71 ,,4.0,707220250902G+2,BRAHY,2306.0,2025-09-02,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250902G+2 71 ,,4.0,707220250902G+2,BRAHY,2306.0,2025-09-02,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250902G+2 71 ,,4.0,707220250902G+2,BRAHY,2306.0,2025-09-02,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250904G+2 71 ,,4.0,866120250904G+2,BRAHY,2977.0,2025-09-04,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,866120250904G+2 71 ,,4.0,866120250904G+2,BRAHY,2977.0,2025-09-04,2.0,2 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250909MG1 71 ,,5.0,707220250909MG1,BRAHY,2306.0,2025-09-09,1.0,1 sem.,MG1 ,5.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250909MG1 71 ,,4.0,866120250909MG1,BRAHY,2977.0,2025-09-09,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,866120250911MG1 50 ,,4.0,866120250911MG1,BRAHY,2977.0,2025-09-11,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250909MG1 50 ,,4.0,707220250909MG1,BRAHY,2306.0,2025-09-09,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250910MG1 71 ,,4.0,707220250910MG1,BRAHY,2306.0,2025-09-10,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250910MG1 71 ,,4.0,707220250910MG1,BRAHY,2306.0,2025-09-10,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250910MG1 50 ,,4.0,866120250910MG1,BRAHY,2977.0,2025-09-10,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250909MG1 71 ,,4.0,707220250909MG1,BRAHY,2306.0,2025-09-09,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250909MG1 50 ,,4.0,866120250909MG1,BRAHY,2977.0,2025-09-09,1.0,1 sem.,MG1 ,4.0,MG,1.0,BoxE,1,BoxE1,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,707220250908G+2 50 ,,4.0,707220250908G+2,BRAHY,2306.0,2025-09-08,1.0,1 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,707220250908G+2 50 ,,4.0,707220250908G+2,BRAHY,2306.0,2025-09-08,1.0,1 sem.,G+2 ,4.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 91,2278-2307,,,,,,,,,
2,2A31,866120250916MG3 50 ,,4.0,866120250916MG3,BRAHY,2977.0,2025-09-16,0.0,< 1 sem.,MG3 ,4.0,MG,3.0,BoxE,3,BoxE3,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
2,2A31,866120250915G+2 50 ,,1.0,866120250915G+2,BRAHY,2977.0,2025-09-15,0.0,< 1 sem.,G+2 ,1.0,G+,2.0,BoxE,2,BoxE2,BARHEE,BAHREE 108,2957-2986,,,,,,,,,
